lat,lon
25.3479,-81.4346
25.2817,-81.4136
25.2125,-81.3917
25.1408,-81.3691
25.0713,-81.3471
25.0014,-81.3251
24.9358,-81.3044
24.8666,-81.2826
24.8015,-81.2622
24.7313,-81.2401
24.6629,-81.2186
24.5901,-81.1958
24.5227,-81.1747
24.4546,-81.1534
24.3879,-81.1326
24.3152,-81.1099
24.2468,-81.0886
24.1772,-81.0669
24.1084,-81.0455
24.0419,-81.0259
23.9657,-81.0122
23.9042,-81.0079
23.8363,-81.0055
23.7665,-81.0022
23.6983,-80.9991
23.629,-80.9962
23.5614,-80.9934
23.5074,-80.9896
23.4472,-80.9788
23.3683,-80.962
23.2987,-80.947
23.2265,-80.9313
23.1484,-80.914
23.0797,-80.8986
23.0101,-80.8832
22.9433,-80.8687
22.871,-80.853
22.8015,-80.8379
22.6721,-80.8095
22.5999,-80.7931
22.526,-80.7764
22.4583,-80.7612
22.3705,-80.7439
22.295,-80.7307
22.2103,-80.7138
22.1423,-80.6987
22.099,-80.6892
22.0584,-80.6851
21.9823,-80.6857
21.8931,-80.6845
21.8256,-80.6835
21.7511,-80.6828
21.6746,-80.6821
21.6076,-80.6814
21.5385,-80.6806
21.4704,-80.68
21.4017,-80.6792
21.3338,-80.6785
21.2647,-80.6778
21.1952,-80.6771
21.128,-80.6764
21.059,-80.6757
20.9592,-80.6746
20.8729,-80.6737
20.8046,-80.673
20.7353,-80.6722
20.6667,-80.6715
20.598,-80.6708
20.5297,-80.6701
20.46,-80.6694
20.3901,-80.6686
20.3223,-80.6679
20.2425,-80.6671
20.1775,-80.6664
20.1047,-80.6656
20.0356,-80.6649
19.9677,-80.6643
19.898,-80.6635
19.8296,-80.6628
19.7617,-80.6621
19.6926,-80.6614
19.6236,-80.6607
19.5553,-80.6599
19.4862,-80.6592
19.4183,-80.6585
19.3493,-80.6578
19.2782,-80.6571
19.208,-80.6563
19.1419,-80.6557
19.0614,-80.6549
18.9922,-80.6542
18.9228,-80.6534
18.8532,-80.6527
18.7835,-80.652
18.7137,-80.6513
18.6441,-80.6506
18.5743,-80.6499
18.4544,-80.6487
18.3833,-80.6479
18.306,-80.6471
18.2246,-80.6463
18.1555,-80.6456
18.0864,-80.6449
18.0165,-80.6442
17.9467,-80.6435
17.8769,-80.6428
17.8061,-80.642
17.7372,-80.6414
17.67,-80.6407
17.5961,-80.6399
17.4804,-80.6388
17.4095,-80.6381
17.3408,-80.6374
17.2541,-80.6365
17.1861,-80.6358
17.1141,-80.6351
17.0368,-80.6343
16.9407,-80.6334
16.8656,-80.6326
16.7918,-80.6319
16.7234,-80.6312
16.6428,-80.6304
16.572,-80.6297
16.5019,-80.629
16.4325,-80.6283
16.3624,-80.6276
16.292,-80.6269
16.2245,-80.6262
16.1537,-80.6255
16.0838,-80.6248
15.9527,-80.6235
15.8463,-80.6225
15.7689,-80.6217
15.6306,-80.6203
15.4954,-80.6189
15.3885,-80.618
15.2613,-80.6167
14.9613,-80.6034
